"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 14 14:10:54 IST 2020","Wed Oct 14 14:11:09 IST 2020","15597","","Handle Application Login","","Handle Application Login","Enter Username","Enter Username",""
"passed","Wed Oct 14 13:53:12 IST 2020","Wed Oct 14 13:53:20 IST 2020","8223","","drag and drop actions feature","","drag and drop actions feature","do drag and drop","do drag and drop",""
